date,account,amount,currency,description,merchant,category,tags,notes
2025-09-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-09-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-09-05,Checking,-2480,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-09-06,Checking,-470,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-09-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-09-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-09-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-09-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-09-07,Checking,-720,INR,Lunch,Office Canteen,Eating Out,food,
2025-09-07,Checking,-90,INR,Parking,City Parking,Transport,commute,
2025-09-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-09-08,Checking,-660,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-09-09,Checking,-1090,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-09-09,Checking,-1490,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-09-10,Checking,-340,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-09-10,Credit Card,-2299,INR,Online shopping order,Amazon,Shopping,online,
2025-09-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-09-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-09-12,Checking,-590,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-09-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-09-14,Checking,-1500,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-09-14,Checking,-820,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-09-15,Checking,10000,INR,Performance bonus,Acme Corp,Income: Bonus,income|bonus,
2025-09-15,Checking,-2300,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-09-16,Checking,-1410,INR,Groceries,Daily Needs Store,Groceries,food,
2025-09-16,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-09-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-09-18,Credit Card,-999,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-09-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-09-19,Checking,-760,INR,Household supplies,HomeStore,Home,home,
2025-09-20,Checking,-810,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-09-20,Checking,-700,INR,Concert ticket,LiveArena,Entertainment,fun,
2025-09-21,Checking,-3250,INR,Fuel,PetroFuel,Fuel,transport,
2025-09-21,Checking,-360,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-09-22,Checking,-5400,INR,Insurance premium,Shield Insurance,Insurance,recurring|annual,
2025-09-23,Checking,-510,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-09-23,Credit Card,-1299,INR,Kitchen appliance,HomeStore,Home,home,
2025-09-24,Checking,-1200,INR,Doctor consultation,City Clinic,Health,medical,
2025-09-25,Checking,-1750,INR,Lunch out,Green Bowl Bistro,Eating Out,food,
2025-09-25,Checking,-5200,INR,Income tax payment,Tax Portal,Taxes,government,
2025-09-26,Checking,-399,INR,App subscription,NotePro,Subscriptions,recurring,
2025-09-27,Checking,-940,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-09-28,Credit Card,-4600,INR,Smartwatch strap,TechKart,Shopping,gadgets,
2025-09-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-09-29,Checking,-610,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-09-30,Checking,-960,INR,Dinner,Spice Route Restaurant,Eating Out,food,

2025-10-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,October salary
2025-10-01,Savings,450,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-10-02,Checking,-1280,INR,Groceries,FreshMart Grocers,Groceries,food|essentials,
2025-10-03,Checking,-210,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-10-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2025-10-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-10-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-10-05,Checking,-2550,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-10-06,Checking,-455,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-10-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-10-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-10-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-10-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-10-07,Checking,-710,INR,Lunch,Office Canteen,Eating Out,food,
2025-10-07,Checking,-90,INR,Parking,City Parking,Transport,commute,
2025-10-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-10-08,Checking,-640,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-10-09,Checking,-980,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-10-09,Checking,-1540,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-10-10,Checking,-340,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-10-10,Credit Card,-2799,INR,Online shopping order,Amazon,Shopping,online,
2025-10-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-10-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-10-12,Checking,-610,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-10-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-10-14,Checking,-1500,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-10-14,Checking,-880,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-10-15,Checking,5000,INR,Freelance payment,Client B,Income: Freelance,income,
2025-10-15,Checking,-2400,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-10-16,Checking,-1390,INR,Groceries,Daily Needs Store,Groceries,food,
2025-10-16,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-10-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-10-18,Credit Card,-949,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-10-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-10-19,Checking,-780,INR,Household supplies,HomeStore,Home,home,
2025-10-20,Checking,-820,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-10-20,Checking,-650,INR,Movie tickets,CineWorld,Entertainment,fun,
2025-10-21,Checking,-3300,INR,Fuel,PetroFuel,Fuel,transport,
2025-10-21,Checking,-360,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-10-22,Checking,-2100,INR,Mutual fund SIP,IndexFunds,Investments,investing|monthly,
2025-10-23,Checking,-520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-10-23,Credit Card,-1499,INR,Backpack,StyleStreet,Shopping,shopping,
2025-10-24,Checking,-1200,INR,Doctor consultation,City Clinic,Health,medical,
2025-10-25,Checking,-1750,INR,Lunch out,Green Bowl Bistro,Eating Out,food,
2025-10-26,Checking,-900,INR,Gift purchase,GiftMart,Gifts,gifting,
2025-10-27,Checking,-980,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-10-28,Credit Card,-3900,INR,Electronics accessory,TechKart,Shopping,gadgets,
2025-10-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-10-29,Checking,-620,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-10-30,Checking,-980,INR,Dinner,Spice Route Restaurant,Eating Out,food,
2025-10-31,Checking,-120,INR,Stationery,Paper & Pen,Education,work,

2025-11-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,November salary
2025-11-01,Savings,460,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-11-02,Checking,-1350,INR,Groceries,FreshMart Grocers,Groceries,food|essentials,
2025-11-03,Checking,-220,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-11-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2025-11-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-11-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-11-05,Checking,-2600,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-11-06,Checking,-480,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-11-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-11-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-11-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-11-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-11-07,Checking,-720,INR,Lunch,Office Canteen,Eating Out,food,
2025-11-07,Checking,-90,INR,Parking,City Parking,Transport,commute,
2025-11-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-11-08,Checking,-660,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-11-09,Checking,-980,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-11-09,Checking,-1580,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-11-10,Checking,-360,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-11-10,Credit Card,-3199,INR,Online shopping order,Amazon,Shopping,online,
2025-11-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-11-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-11-12,Checking,-640,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-11-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-11-14,Checking,-1500,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-11-14,Checking,-980,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-11-15,Checking,8000,INR,Freelance payment,Client C,Income: Freelance,income,
2025-11-15,Checking,-2500,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-11-16,Checking,-1420,INR,Groceries,Daily Needs Store,Groceries,food,
2025-11-16,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-11-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-11-18,Credit Card,-999,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-11-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-11-19,Checking,-820,INR,Household supplies,HomeStore,Home,home,
2025-11-20,Checking,-860,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-11-20,Checking,-720,INR,Stand-up comedy,Comedy Club,Entertainment,fun,
2025-11-21,Checking,-3400,INR,Fuel,PetroFuel,Fuel,transport,
2025-11-21,Checking,-360,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-11-22,Checking,-2100,INR,Mutual fund SIP,IndexFunds,Investments,investing|monthly,
2025-11-23,Checking,-520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-11-23,Credit Card,-1799,INR,Winter shoes,ShoeHub,Shopping,clothing,
2025-11-24,Checking,-1200,INR,Doctor consultation,City Clinic,Health,medical,
2025-11-25,Checking,-1750,INR,Lunch out,Green Bowl Bistro,Eating Out,food,
2025-11-26,Checking,-650,INR,Books,BookBarn,Education,learning,
2025-11-27,Checking,-980,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-11-28,Credit Card,-4100,INR,Tablet accessory,TechKart,Shopping,gadgets,
2025-11-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-11-29,Checking,-620,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-11-30,Checking,-980,INR,Dinner,Spice Route Restaurant,Eating Out,food,

2025-12-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,December salary
2025-12-01,Savings,470,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-12-02,Checking,-1480,INR,Groceries,FreshMart Grocers,Groceries,food|essentials,
2025-12-03,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-12-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2025-12-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-12-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-12-05,Checking,-2700,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-12-06,Checking,-490,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-12-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-12-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-12-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-12-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-12-07,Checking,-760,INR,Lunch,Office Canteen,Eating Out,food,
2025-12-07,Checking,-90,INR,Parking,City Parking,Transport,commute,
2025-12-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-12-08,Checking,-680,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-12-09,Checking,-980,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-12-09,Checking,-1620,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-12-10,Checking,-360,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-12-10,Credit Card,-3899,INR,Online shopping order,Amazon,Shopping,online,
2025-12-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-12-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-12-12,Checking,-690,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-12-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-12-14,Checking,-1500,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-12-14,Checking,-1150,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-12-15,Checking,15000,INR,Year-end bonus,Acme Corp,Income: Bonus,income|bonus,
2025-12-15,Checking,-3500,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-12-16,Checking,-1450,INR,Groceries,Daily Needs Store,Groceries,food,
2025-12-16,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-12-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-12-18,Credit Card,-1099,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-12-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-12-19,Checking,-920,INR,Household supplies,HomeStore,Home,home,
2025-12-20,Checking,-920,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-12-20,Checking,-900,INR,Holiday event tickets,Winter Fest,Entertainment,holiday,
2025-12-21,Checking,-3500,INR,Fuel,PetroFuel,Fuel,transport,
2025-12-21,Checking,-360,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-12-22,Checking,-18000,INR,Flight booking,AirSwift,Travel,holiday|flight,
2025-12-23,Checking,-520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-12-23,Credit Card,-3999,INR,Hotel booking,StayEasy,Travel,holiday|hotel,
2025-12-24,Checking,-1600,INR,Gift purchase,GiftMart,Gifts,holiday|gifting,
2025-12-25,Checking,-2200,INR,Christmas dinner,Spice Route Restaurant,Eating Out,holiday|food,
2025-12-26,Checking,-399,INR,App subscription,NotePro,Subscriptions,recurring,
2025-12-27,Checking,-1050,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-12-28,Credit Card,-5200,INR,Electronics accessory,TechKart,Shopping,gadgets,
2025-12-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-12-29,Checking,-620,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-12-30,Checking,-980,INR,Dinner,Spice Route Restaurant,Eating Out,food,
2025-12-31,Checking,-1200,INR,Charity donation,Helping Hands,Donations,giving|yearend,

2026-01-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,January salary
2026-01-01,Savings,480,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2026-01-02,Checking,-1200,INR,Milk + bread,FreshMart Grocers,Groceries,food|essentials,
2026-01-03,Checking,-450,INR,Coffee,Bean & Brew,Eating Out,food|coffee,
2026-01-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2026-01-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2026-01-05,Checking,-2500,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2026-01-06,Checking,-450,INR,Water bill,City Water,Utilities,utilities|monthly,
2026-01-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2026-01-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2026-01-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2026-01-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2026-01-07,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2026-01-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2026-01-09,Checking,-540,INR,Groceries top-up,FreshMart Grocers,Groceries,food,
2026-01-10,Checking,-650,INR,Lunch,Office Canteen,Eating Out,food,
2026-01-11,Checking,-1500,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2026-01-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2026-01-13,Credit Card,-2450,INR,Online shopping order,Amazon,Shopping,online,
2026-01-14,Credit Card,-899,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2026-01-15,Checking,5000,INR,Freelance payment,Client A,Income: Freelance,income,
2026-01-15,Checking,-2400,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2026-01-16,Checking,-600,INR,Auto rickshaw,Local Ride,Transport,commute,
2026-01-17,Checking,-3400,INR,Weekend dinner,Spice Route Restaurant,Eating Out,food|friends,
2026-01-18,Checking,-780,INR,Groceries,Daily Needs Store,Groceries,food,
